,A,reg_number,date,values,mpal,stops
21,"Razem 15,8 0 6803 / 7792 7 637,68 PLN",TK1503U,01-07-24,"['15,8', '0', '6803', '/', '7792', '7', '637,68', 'PLN']","15,8",7
47,"Razem 17,8 0 4655 / 7199 14 805,45 PLN",TK1503U,01-07-24,"['17,8', '0', '4655', '/', '7199', '14', '805,45', 'PLN']","17,8",14
62,"Razem 17,6 0 6044 / 7385 18 905,27 PLN",TK1503U,02-07-24,"['17,6', '0', '6044', '/', '7385', '18', '905,27', 'PLN']","17,6",18
105,"Razem 17,0 0 4711 / 7737 7 689,71 PLN",TK1503U,02-07-24,"['17,0', '0', '4711', '/', '7737', '7', '689,71', 'PLN']","17,0",7
121,"Razem 13,6 0 4330 / 0 7 788,16 PLN",TK1503U,03-07-24,"['13,6', '0', '4330', '/', '0', '7', '788,16', 'PLN']","13,6",7
148,"Razem 19,0 0 6604 / 7382 13 790,65 PLN",TK1503U,03-07-24,"['19,0', '0', '6604', '/', '7382', '13', '790,65', 'PLN']","19,0",13
168,"Razem 16,8 0 6950 / 8552 5 615,17 PLN",TK1503U,04-07-24,"['16,8', '0', '6950', '/', '8552', '5', '615,17', 'PLN']","16,8",5
186,"Razem 18,0 0 5164 / 7764 16 768,29 PLN",TK1503U,04-07-24,"['18,0', '0', '5164', '/', '7764', '16', '768,29', 'PLN']","18,0",16
229,"Razem 19,6 0 4567 / 7568 7 681,77 PLN",TK1503U,05-07-24,"['19,6', '0', '4567', '/', '7568', '7', '681,77', 'PLN']","19,6",7
253,"Razem 17,8 0 6878 / 7585 14 805,57 PLN",TK1503U,05-07-24,"['17,8', '0', '6878', '/', '7585', '14', '805,57', 'PLN']","17,8",14
282,"Razem 16,7 0 4539 / 7179 6 533,14 PLN",TK1503U,08-07-24,"['16,7', '0', '4539', '/', '7179', '6', '533,14', 'PLN']","16,7",6
305,"Razem 18,0 0 6691 / 7552 13 799,78 PLN",TK1503U,08-07-24,"['18,0', '0', '6691', '/', '7552', '13', '799,78', 'PLN']","18,0",13
318,"Razem 9,4 0 4175 / 0 7 636,26 PLN",TK1503U,09-07-24,"['9,4', '0', '4175', '/', '0', '7', '636,26', 'PLN']","9,4",7
354,"Razem 18,5 0 7127 / 8337 12 822,43 PLN",TK1503U,09-07-24,"['18,5', '0', '7127', '/', '8337', '12', '822,43', 'PLN']","18,5",12
369,"Razem 13,1 0 6270 / 2066 6 562,10 PLN",TK1503U,10-07-24,"['13,1', '0', '6270', '/', '2066', '6', '562,10', 'PLN']","13,1",6
385,"Razem 11,5 0 3288 / 4913 9 545,88 PLN",TK1503U,10-07-24,"['11,5', '0', '3288', '/', '4913', '9', '545,88', 'PLN']","11,5",9
424,"Razem 19,3 0 5032 / 6618 6 623,04 PLN",TK1503U,11-07-24,"['19,3', '0', '5032', '/', '6618', '6', '623,04', 'PLN']","19,3",6
452,"Razem 21,9 0 5566 / 7138 16 831,29 PLN",TK1503U,11-07-24,"['21,9', '0', '5566', '/', '7138', '16', '831,29', 'PLN']","21,9",16
469,"Razem 7,4 0 3352 / 4030 4 376,40 PLN",TK1503U,16-07-24,"['7,4', '0', '3352', '/', '4030', '4', '376,40', 'PLN']","7,4",4
491,"Razem 18,8 0 5502 / 7667 12 826,57 PLN",TK1503U,16-07-24,"['18,8', '0', '5502', '/', '7667', '12', '826,57', 'PLN']","18,8",12
517,"Razem 17,1 0 5168 / 6397 6 604,89 PLN",TK1503U,17-07-24,"['17,1', '0', '5168', '/', '6397', '6', '604,89', 'PLN']","17,1",6
555,"Razem 18,6 0 6809 / 8736 15 945,61 PLN",TK1503U,17-07-24,"['18,6', '0', '6809', '/', '8736', '15', '945,61', 'PLN']","18,6",15
579,"Razem 16,8 0 5585 / 7719 6 627,22 PLN",TK1503U,18-07-24,"['16,8', '0', '5585', '/', '7719', '6', '627,22', 'PLN']","16,8",6
611,"Razem 17,1 0 4082 / 5650 19 765,87 PLN",TK1503U,18-07-24,"['17,1', '0', '4082', '/', '5650', '19', '765,87', 'PLN']","17,1",19
630,"Razem 14,5 0 4136 / 5549 4 424,88 PLN",TK1503U,19-07-24,"['14,5', '0', '4136', '/', '5549', '4', '424,88', 'PLN']","14,5",4
644,"Razem 17,9 0 5545 / 6435 16 780,83 PLN",TK1503U,19-07-24,"['17,9', '0', '5545', '/', '6435', '16', '780,83', 'PLN']","17,9",16
689,"Razem 17,5 0 7050 / 8006 5 549,40 PLN",TK1503U,22-07-24,"['17,5', '0', '7050', '/', '8006', '5', '549,40', 'PLN']","17,5",5
711,"Razem 19,5 0 6843 / 9928 13 917,15 PLN",TK1503U,22-07-24,"['19,5', '0', '6843', '/', '9928', '13', '917,15', 'PLN']","19,5",13
768,"Razem 15,8 0 7510 / 8765 8 717,24 PLN",TK1503U,23-07-24,"['15,8', '0', '7510', '/', '8765', '8', '717,24', 'PLN']","15,8",8
797,"Razem 17,8 0 4661 / 6789 17 831,69 PLN",TK1503U,23-07-24,"['17,8', '0', '4661', '/', '6789', '17', '831,69', 'PLN']","17,8",17
814,"Razem 13,2 0 5850 / 0 5 521,30 PLN",TK1503U,24-07-24,"['13,2', '0', '5850', '/', '0', '5', '521,30', 'PLN']","13,2",5
